Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,Cibil_Score,split
LN100082,Male,No,0,Graduate,No,2121,0.0,58.0,360.0,Urban,Y,760.0,train
LN100083,Male,Yes,0,Graduate,No,1909,1634.0,102.0,360.0,Urban,Y,739.0,train
LN100084,Male,No,0,Graduate,No,1885,1732.0,45.0,360.0,Semiurban,Y,697.0,train
LN100085,Male,Yes,2,Not Graduate,No,1987,1135.0,143.0,360.0,Rural,N,521.0,train
LN100086,Male,Yes,2,Not Graduate,No,2233,1535.0,62.0,300.0,Urban,Y,658.0,train
LN100087,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,Urban,Y,741.0,train
LN100088,Male,No,0,Graduate,No,20233,0.0,480.0,360.0,Rural,N,777.0,train
LN100089,Male,No,0,Not Graduate,No,3189,2598.0,120.0,360.0,Rural,Y,825.0,train
LN100090,Male,No,0,Graduate,Yes,12603,0.0,80.0,360.0,Urban,N,864.0,train
LN100091,Male,Yes,2,Graduate,Yes,19527,0.0,425.0,360.0,Rural,Y,746.0,train
LN100092,Male,No,1,Graduate,No,4384,1793.0,117.0,360.0,Urban,Y,739.0,train
LN100093,Female,Yes,0,Not Graduate,No,1836,1451.0,108.0,360.0,Semiurban,Y,900.0,train
LN100094,Male,Yes,2,Graduate,No,7903,0.0,185.0,360.0,Urban,Y,760.0,train
LN100095,Male,No,0,Graduate,No,5493,0.0,128.0,360.0,Rural,N,741.0,train
LN100096,Male,Yes,1,Graduate,No,1901,0.0,70.0,360.0,Rural,N,762.0,train
LN100097,Male,Yes,1,Not Graduate,No,1940,2171.0,114.0,360.0,Rural,Y,711.0,train
LN100098,Male,Yes,0,Graduate,No,1953,1928.0,93.0,360.0,Urban,Y,598.0,train
LN100099,Male,Yes,0,Not Graduate,No,2062,2539.0,83.0,360.0,Urban,N,587.0,train
LN100100,Male,Yes,2,Graduate,No,6098,0.0,138.0,360.0,Semiurban,Y,879.0,train
LN100101,Male,No,0,Graduate,Yes,6017,0.0,157.0,180.0,Semiurban,Y,771.0,train
LN100102,Female,No,0,Graduate,No,8449,0.0,268.0,360.0,Semiurban,Y,780.0,train
LN100103,Male,No,0,Graduate,No,2377,2372.0,124.0,360.0,Semiurban,Y,752.0,train
LN100104,Male,Yes,0,Not Graduate,No,5108,0.0,148.0,360.0,Rural,N,751.0,train
LN100105,Male,Yes,0,Graduate,No,3495,822.0,115.0,360.0,Semiurban,Y,766.0,train
LN100106,Male,Yes,2,Graduate,No,4501,4060.0,267.0,360.0,Semiurban,Y,749.0,train
LN100107,Male,Yes,0,Graduate,No,2702,2481.0,92.0,180.0,Rural,Y,693.0,train
LN100108,Female,No,0,Graduate,No,2835,0.0,55.0,360.0,Urban,Y,744.0,train
LN100109,Female,No,1,Graduate,No,2673,1615.0,96.0,360.0,Urban,Y,793.0,train
LN100110,Male,Yes,1,Graduate,No,4678,1458.0,120.0,360.0,Rural,N,685.0,train
LN100111,Male,Yes,0,Not Graduate,No,4563,2029.0,192.0,360.0,Rural,Y,738.0,train
LN100112,Male,Yes,1,Graduate,No,7168,1579.0,125.0,360.0,Urban,N,399.0,train
LN100113,Female,No,0,Graduate,No,3343,0.0,118.0,360.0,Semiurban,Y,813.0,train
LN100114,Male,No,0,Graduate,No,2546,0.0,78.0,360.0,Urban,N,822.0,train
LN100115,Male,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,Semiurban,Y,847.0,train
LN100116,Male,No,0,Graduate,No,6832,0.0,119.0,360.0,Urban,N,777.0,train
LN100117,Male,No,0,Graduate,No,2872,5956.0,174.0,60.0,Urban,Y,703.0,train
LN100118,Male,Yes,1,Graduate,Yes,3760,1141.0,111.0,360.0,Rural,Y,690.0,train
LN100119,Male,Yes,3+,Graduate,No,3772,3362.0,169.0,360.0,Rural,Y,757.0,train
LN100120,Male,No,3+,Graduate,Yes,8522,0.0,252.0,360.0,Semiurban,Y,678.0,train
LN100121,Male,Yes,3+,Not Graduate,No,2501,1744.0,196.0,360.0,Rural,N,679.0,train
LN100122,Male,Yes,0,Graduate,No,3167,1868.0,107.0,360.0,Semiurban,Y,800.0,train
LN100123,Male,Yes,1,Graduate,No,3836,3204.0,174.0,360.0,Urban,N,683.0,train
LN100124,Male,Yes,1,Not Graduate,No,2953,2733.0,96.0,360.0,Semiurban,Y,802.0,train
LN100125,Male,Yes,2,Graduate,No,3602,1761.0,162.0,360.0,Rural,N,525.0,train
LN100126,Male,Yes,0,Graduate,No,3384,2386.0,143.0,360.0,Semiurban,Y,868.0,train
LN100127,Male,Yes,0,Graduate,No,2586,3593.0,152.0,360.0,Semiurban,Y,799.0,train
LN100128,Male,Yes,2,Not Graduate,No,5369,1469.0,197.0,480.0,Semiurban,N,753.0,train
LN100129,Male,No,0,Graduate,Yes,11000,0.0,83.0,360.0,Urban,N,832.0,train
LN100130,Male,No,0,Graduate,Yes,7361,0.0,84.0,360.0,Semiurban,Y,828.0,train
LN100131,Male,Yes,2,Graduate,Yes,15312,0.0,348.0,360.0,Rural,Y,818.0,train
LN100132,Male,Yes,0,Graduate,No,14211,0.0,93.0,360.0,Semiurban,Y,783.0,train
LN100133,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,Semiurban,N,713.0,train
LN100134,Male,Yes,3+,Graduate,No,24235,0.0,334.0,360.0,Rural,Y,858.0,train
LN100135,Male,Yes,1,Not Graduate,No,4141,1233.0,152.0,360.0,Urban,Y,630.0,train
LN100136,Male,Yes,1,Not Graduate,No,2194,2185.0,146.0,180.0,Urban,N,746.0,train
LN100137,Male,Yes,1,Graduate,No,3417,1750.0,186.0,360.0,Urban,Y,847.0,train
LN100138,Female,Yes,0,Graduate,No,3190,1595.0,154.0,360.0,Semiurban,Y,685.0,train
LN100139,Male,Yes,0,Graduate,No,1914,966.0,46.0,360.0,Semiurban,Y,759.0,train
LN100140,Male,Yes,2,Graduate,Yes,1526,20514.0,207.0,360.0,Urban,N,674.0,train
LN100141,Male,No,0,Graduate,No,3006,2640.0,92.0,360.0,Rural,Y,690.0,train
LN100142,Male,Yes,2,Graduate,No,5677,0.0,179.0,360.0,Semiurban,Y,743.0,train
LN100143,Female,Yes,1,Graduate,No,3244,828.0,99.0,84.0,Semiurban,Y,884.0,train
LN100144,Male,No,0,Graduate,No,2818,5329.0,138.0,60.0,Urban,Y,635.0,train
LN100145,Male,No,0,Graduate,No,9563,0.0,209.0,360.0,Urban,N,800.0,train
LN100146,Male,No,0,Not Graduate,No,6771,0.0,143.0,360.0,Rural,N,691.0,train
LN100147,Female,Yes,0,Graduate,No,3811,2896.0,99.0,360.0,Semiurban,Y,835.0,train
LN100148,Male,No,0,Graduate,No,2314,0.0,56.0,360.0,Semiurban,Y,836.0,train
LN100149,Male,Yes,2,Graduate,Yes,6250,1300.0,108.0,360.0,Rural,Y,766.0,train
LN100150,Male,Yes,0,Graduate,No,2378,2046.0,136.0,360.0,Urban,Y,748.0,train
LN100151,Male,Yes,0,Graduate,No,2004,2547.0,147.0,360.0,Urban,Y,720.0,train
LN100152,Female,Yes,0,Graduate,No,4476,0.0,97.0,360.0,Rural,N,667.0,train
LN100153,Male,No,0,Graduate,No,1926,1851.0,50.0,360.0,Semiurban,Y,734.0,train
LN100154,Female,No,0,Graduate,No,3291,0.0,77.0,360.0,Urban,N,518.0,train
LN100155,Male,Yes,0,Not Graduate,No,2751,1762.0,106.0,360.0,Semiurban,N,564.0,train
LN100156,Male,No,0,Graduate,Yes,5999,0.0,158.0,360.0,Rural,Y,725.0,train
LN100157,Male,No,0,Not Graduate,No,5968,0.0,121.0,360.0,Rural,N,648.0,train
LN100158,Male,No,0,Graduate,Yes,5166,0.0,128.0,360.0,Semiurban,Y,665.0,train
LN100159,Male,Yes,3+,Graduate,No,20853,0.0,374.0,360.0,Rural,Y,850.0,train
LN100160,Male,No,0,Graduate,No,3257,2699.0,161.0,360.0,Urban,Y,741.0,train
LN100161,Male,No,0,Graduate,No,4338,0.0,97.0,360.0,Semiurban,Y,694.0,train
LN100162,Male,Yes,0,Graduate,No,3249,0.0,39.0,180.0,Rural,Y,771.0,train
LN100163,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,Semiurban,N,572.0,train
LN100164,Male,Yes,2,Graduate,No,3325,1260.0,126.0,360.0,Urban,Y,769.0,train
LN100165,Male,No,0,Not Graduate,Yes,6164,0.0,135.0,360.0,Semiurban,Y,853.0,train
LN100166,Male,Yes,2,Graduate,No,8149,0.0,166.0,360.0,Urban,Y,836.0,train
LN100167,Male,Yes,2,Graduate,No,5819,5000.0,120.0,360.0,Rural,Y,776.0,train
LN100168,Male,Yes,1,Graduate,No,3125,2583.0,170.0,360.0,Semiurban,N,845.0,train
LN100169,Male,Yes,0,Graduate,No,2383,3334.0,172.0,360.0,Semiurban,Y,754.0,train
LN100170,Male,No,3+,Graduate,No,9167,0.0,185.0,360.0,Rural,Y,750.0,train
LN100171,Male,Yes,1,Graduate,No,6373,2271.0,215.0,360.0,Semiurban,Y,751.0,train
LN100172,Female,Yes,0,Not Graduate,No,4400,0.0,120.0,360.0,Rural,Y,778.0,train
LN100173,Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,Urban,Y,788.0,train
LN100174,Male,Yes,1,Not Graduate,No,4050,5302.0,138.0,360.0,Rural,N,741.0,train
LN100175,Male,No,1,Not Graduate,No,2533,1182.0,99.0,360.0,Semiurban,Y,749.0,train
LN100176,Female,No,0,Not Graduate,No,1907,2365.0,120.0,360.0,Urban,Y,733.0,train
LN100177,Female,No,0,Graduate,No,3777,0.0,103.0,360.0,Semiurban,N,699.0,train
LN100178,Male,No,1,Graduate,Yes,4811,0.0,115.0,360.0,Rural,N,893.0,train
LN100179,Male,Yes,3+,Graduate,No,3040,1215.0,128.0,360.0,Semiurban,N,554.0,train
LN100180,Male,No,0,Graduate,No,2087,2141.0,128.0,360.0,Semiurban,Y,709.0,train
LN100181,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,Urban,Y,764.0,train
LN100182,Male,Yes,2,Not Graduate,No,6125,1625.0,187.0,480.0,Semiurban,N,731.0,train
LN100183,Male,No,1,Not Graduate,No,2604,1349.0,106.0,360.0,Semiurban,Y,847.0,train
LN100184,Female,Yes,0,Graduate,Yes,5496,0.0,104.0,360.0,Rural,N,560.0,train
LN100185,Male,Yes,2,Graduate,No,7452,1924.0,262.0,300.0,Semiurban,Y,753.0,train
LN100186,Female,No,0,Not Graduate,No,4987,0.0,159.0,360.0,Rural,Y,900.0,train
LN100187,Male,Yes,2,Graduate,Yes,5023,2365.0,165.0,360.0,Semiurban,Y,776.0,train
LN100188,Female,No,1,Graduate,No,3541,0.0,112.0,360.0,Semiurban,Y,741.0,train
LN100189,Female,No,0,Graduate,No,2569,0.0,96.0,360.0,Semiurban,Y,874.0,train
LN100190,Male,Yes,2,Not Graduate,No,3205,1975.0,135.0,360.0,Urban,Y,748.0,train
LN100191,Male,Yes,3+,Graduate,No,8750,4996.0,130.0,360.0,Rural,Y,798.0,train
LN100192,Male,Yes,0,Graduate,No,2414,6520.0,202.0,360.0,Rural,Y,777.0,train
LN100193,Male,Yes,0,Graduate,No,2573,2157.0,125.0,360.0,Urban,Y,753.0,train
LN100194,Male,Yes,0,Graduate,No,4463,1825.0,166.0,360.0,Rural,N,658.0,train
LN100195,Male,Yes,2,Graduate,No,9703,0.0,112.0,360.0,Urban,Y,882.0,train
LN100196,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,Semiurban,Y,693.0,train
LN100197,Male,Yes,0,Graduate,Yes,3493,0.0,23.0,120.0,Semiurban,Y,834.0,train
LN100198,Male,Yes,3+,Not Graduate,No,1916,819.0,90.0,480.0,Semiurban,Y,831.0,train
LN100199,Male,No,0,Not Graduate,No,1311,0.0,39.0,360.0,Urban,N,789.0,train
LN100200,Male,Yes,1,Not Graduate,No,2216,2159.0,116.0,360.0,Urban,Y,687.0,train
LN100201,Male,Yes,1,Graduate,No,3559,0.0,105.0,360.0,Semiurban,Y,674.0,train
LN100202,Female,Yes,0,Graduate,No,3280,0.0,39.0,360.0,Semiurban,Y,560.0,train
LN100203,Male,Yes,0,Graduate,No,5503,746.0,115.0,360.0,Semiurban,Y,769.0,train
LN100204,Male,Yes,2,Graduate,No,4653,0.0,136.0,360.0,Urban,N,673.0,train
LN100205,Male,Yes,1,Graduate,No,6914,0.0,211.0,360.0,Semiurban,Y,874.0,train
LN100206,Male,Yes,3+,Graduate,No,50596,0.0,609.0,300.0,Urban,Y,705.0,train
LN100207,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,Rural,N,788.0,train
LN100208,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,Urban,Y,801.0,train
LN100209,Male,No,0,Graduate,No,12876,0.0,405.0,360.0,Semiurban,Y,714.0,train
LN100210,Male,Yes,0,Graduate,No,4764,0.0,117.0,360.0,Rural,Y,851.0,train
LN100211,Male,Yes,3+,Graduate,No,4342,189.0,124.0,360.0,Semiurban,Y,771.0,train
LN100212,Male,Yes,1,Graduate,Yes,9254,1569.0,190.0,180.0,Urban,Y,883.0,train
LN100213,Male,No,0,Not Graduate,No,7615,0.0,137.0,360.0,Rural,N,677.0,train
LN100214,Male,No,0,Not Graduate,No,2000,0.0,128.0,360.0,Urban,N,790.0,train
LN100215,Female,No,0,Graduate,Yes,2393,1672.0,90.0,300.0,Semiurban,N,804.0,train
LN100216,Male,Yes,1,Graduate,No,5432,4776.0,329.0,360.0,Urban,Y,632.0,train
LN100217,Male,Yes,1,Not Graduate,No,3488,1187.0,125.0,360.0,Urban,Y,719.0,train
LN100218,Female,No,0,Graduate,No,3105,0.0,80.0,360.0,Urban,Y,857.0,train
LN100219,Male,Yes,0,Graduate,No,5659,6437.0,165.0,360.0,Semiurban,Y,691.0,train
LN100220,Male,Yes,0,Graduate,No,13812,0.0,101.0,360.0,Semiurban,Y,848.0,train
LN100221,Male,Yes,1,Graduate,Yes,8666,4983.0,376.0,360.0,Rural,N,411.0,train
LN100222,Male,Yes,0,Graduate,No,3410,2575.0,138.0,360.0,Semiurban,Y,803.0,train
LN100223,Male,Yes,1,Not Graduate,No,2267,1344.0,124.0,180.0,Rural,N,733.0,train
LN100224,Male,No,0,Graduate,No,5161,0.0,139.0,360.0,Rural,N,738.0,train
LN100225,Female,Yes,0,Graduate,No,2670,3413.0,127.0,360.0,Urban,N,548.0,train
LN100226,Male,Yes,2,Graduate,No,4003,0.0,117.0,360.0,Semiurban,N,567.0,train
LN100227,Male,Yes,1,Graduate,No,2730,1991.0,106.0,480.0,Semiurban,Y,839.0,train
LN100228,Male,Yes,1,Graduate,No,10558,0.0,299.0,360.0,Urban,Y,791.0,train
LN100229,Male,Yes,1,Not Graduate,No,4915,1281.0,167.0,360.0,Urban,Y,667.0,train
LN100230,Male,No,0,Not Graduate,No,2719,2109.0,122.0,360.0,Semiurban,Y,705.0,train
LN100231,Male,Yes,0,Graduate,No,18847,5735.0,435.0,360.0,Urban,Y,803.0,train
LN100232,Male,Yes,1,Graduate,No,8074,0.0,132.0,300.0,Semiurban,N,503.0,train
LN100233,Male,Yes,3+,Graduate,No,2460,2253.0,92.0,360.0,Rural,Y,868.0,train
LN100234,Male,No,2,Graduate,No,4354,0.0,136.0,360.0,Rural,Y,721.0,train
LN100235,Male,Yes,2,Graduate,No,7583,0.0,187.0,360.0,Urban,Y,763.0,train
LN100236,Male,No,1,Not Graduate,No,3283,0.0,110.0,240.0,Urban,Y,804.0,train
LN100237,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,Urban,Y,773.0,train
LN100238,Male,Yes,0,Not Graduate,No,2152,2416.0,174.0,360.0,Urban,N,655.0,train
LN100239,Male,No,0,Graduate,No,4935,0.0,124.0,360.0,Rural,N,705.0,train
LN100240,Male,No,0,Graduate,Yes,7167,0.0,128.0,360.0,Urban,Y,813.0,train
LN100241,Male,Yes,0,Not Graduate,No,7857,0.0,118.0,360.0,Urban,N,610.0,train
LN100242,Male,No,2,Graduate,No,5501,0.0,159.0,360.0,Semiurban,Y,636.0,train
LN100243,Male,Yes,0,Graduate,No,2809,2277.0,111.0,360.0,Semiurban,Y,643.0,train
LN100244,Male,Yes,3+,Graduate,No,4604,0.0,98.0,360.0,Urban,N,679.0,train
LN100245,Male,Yes,2,Graduate,No,7165,0.0,200.0,360.0,Urban,Y,707.0,train
LN100246,Male,Yes,1,Not Graduate,No,5466,1083.0,174.0,360.0,Urban,Y,676.0,train
LN100247,Male,No,0,Graduate,No,4084,0.0,126.0,480.0,Urban,N,787.0,train
LN100248,Male,Yes,0,Graduate,No,2949,2369.0,133.0,360.0,Urban,Y,781.0,train
LN100249,Male,Yes,1,Not Graduate,No,2956,7162.0,312.0,180.0,Semiurban,Y,803.0,train
LN100250,Male,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,Rural,Y,775.0,train
LN100251,Male,Yes,2,Graduate,No,7529,1538.0,254.0,300.0,Semiurban,Y,695.0,train
LN100252,Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,Rural,N,728.0,train
LN100253,Male,Yes,0,Not Graduate,No,5234,0.0,237.0,360.0,Rural,N,549.0,train
LN100254,Male,No,0,Graduate,No,2694,3088.0,79.0,360.0,Rural,Y,693.0,train
LN100255,Male,Yes,1,Graduate,No,2100,1570.0,81.0,360.0,Urban,Y,753.0,train
LN100256,Male,Yes,2,Graduate,No,2344,862.0,70.0,180.0,Urban,Y,717.0,train
LN100257,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,Semiurban,Y,772.0,train
LN100258,Male,Yes,0,Graduate,Yes,2451,4256.0,161.0,360.0,Rural,Y,900.0,train
LN100259,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,Semiurban,N,738.0,train
LN100260,Female,No,0,Graduate,No,4547,0.0,115.0,360.0,Semiurban,Y,815.0,train
LN100261,Male,Yes,2,Not Graduate,No,2949,2011.0,86.0,360.0,Urban,Y,894.0,train
LN100262,Female,No,0,Graduate,Yes,3463,0.0,122.0,360.0,Urban,Y,741.0,train
LN100263,Male,Yes,3+,Graduate,No,3355,3727.0,165.0,360.0,Rural,Y,852.0,train
LN100264,Male,Yes,2,Graduate,No,4355,0.0,62.0,360.0,Semiurban,N,549.0,train
LN100265,Male,Yes,0,Graduate,No,2441,2052.0,138.0,360.0,Urban,Y,780.0,train
LN100266,Male,No,0,Not Graduate,No,3273,2652.0,117.0,360.0,Rural,Y,900.0,train
LN100267,Male,Yes,1,Graduate,No,2787,1917.0,146.0,360.0,Rural,N,614.0,train
LN100268,Male,No,1,Graduate,No,11250,0.0,196.0,360.0,Semiurban,N,741.0,train
LN100269,Male,No,0,Graduate,No,1698,1884.0,47.0,360.0,Semiurban,Y,669.0,train
LN100270,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,Semiurban,Y,736.0,train
LN100271,Male,Yes,2,Graduate,Yes,17737,0.0,358.0,360.0,Rural,Y,658.0,train
LN100272,Male,Yes,3+,Graduate,No,9064,0.0,306.0,360.0,Rural,Y,670.0,train
LN100273,Male,Yes,0,Not Graduate,No,3370,1578.0,96.0,480.0,Urban,N,719.0,train
LN100274,Male,Yes,0,Graduate,No,4055,0.0,95.0,360.0,Semiurban,Y,833.0,train
